"State","Emissions Per 10000 People"
"Australian Capital Territory",28.101506844818
"New South Wales",135.914072556076
"Northern Territory",668.670172802404
"Queensland",233.221905674203
"South Australia",86.8705781579879
"Tasmania",-75.9827055727072
"Victoria",127.763104295805
"Western Australia",295.659350224264
